Frekvens	Kanal A	Kanal B
(ms)	(V)	(mV)

0.00000000	4.54355300	62.87524000
0.16667199	4.54355300	60.29158000
0.33334398	4.45620100	56.84670000
0.50001597	4.36884800	53.40182000
0.66668796	4.36884800	49.95694000
0.83335995	4.28149600	45.65083000
1.00003195	4.28149600	42.20288000
1.16670394	4.19414400	37.89677000
1.33337593	4.19414400	34.45189000
1.50004792	4.10679100	31.00701000
1.66671991	4.10679100	28.42335000
1.83339190	4.01913100	25.83969000
2.00006389	4.01913100	24.97847000
2.16673588	3.93177900	24.97847000
2.33340787	3.93177900	26.70091000
2.50007986	3.84442700	31.86823000
2.66675185	3.84442700	36.17433000
2.83342385	3.75707400	42.20288000
3.00009584	3.75707400	47.37327000
3.16676783	3.66972200	51.67938000
3.33343982	3.66972200	55.12426000
3.50011181	3.58237000	57.70792000
3.66678380	3.58237000	60.29158000
3.83345579	3.49501700	62.87524000
4.00012778	3.49501700	63.73647000
4.16679977	3.40766500	65.45891000
4.33347176	3.32031300	67.18443000
4.50014375	3.32031300	68.04564000
4.66681574	3.32031300	68.90686000
4.83348774	3.23296000	68.90686000
5.00015973	3.14560800	68.90686000
5.16683172	3.14560800	68.90686000
5.33350371	3.05825500	67.18443000
5.50017570	3.05825500	65.45891000
5.66684769	2.97059500	62.87524000
5.83351968	2.97059500	60.29158000
6.00019167	2.88324300	57.70792000
6.16686366	2.88324300	54.26304000
6.33353565	2.79589100	51.67938000
6.50020764	2.79589100	48.23449000
6.66687964	2.70853800	44.78961000
6.83355163	2.70853800	41.34166000
7.00022362	2.62118600	37.03555000
7.16689561	2.53383400	33.59067000
7.33356760	2.53383400	31.00701000
7.50023959	2.53383400	30.14579000
7.66691158	2.44648100	31.86823000
7.83358357	2.35912900	34.45189000
8.00025556	2.35912900	37.89677000
8.16692755	2.27177700	41.34166000
8.33359954	2.27177700	44.78961000
8.50027154	2.18442400	48.23449000
8.66694353	2.18442400	51.67938000
8.83361552	2.09707200	54.26304000
9.00028751	2.09707200	57.70792000
9.16695950	2.00941200	61.15280000
9.33363149	2.00941200	63.73647000
9.50030348	1.92206000	66.32320000
9.66697547	1.92206000	67.18443000
9.83364746	1.83470700	68.04564000
10.00031945	1.83470700	68.04564000
10.16699144	1.83470700	68.04564000
10.33366343	1.74735500	67.18443000
10.50033543	1.66000200	65.45891000
10.66700742	1.66000200	64.59769000
10.83367941	1.57265000	62.01402000
11.00035140	1.48529800	59.43036000
11.16702339	1.48529800	55.98548000
11.33369538	1.48529800	52.54060000
11.50036737	1.39794500	48.23449000
11.66703936	1.39794500	43.06409000
11.83371135	1.31059300	38.75800000
12.00038334	1.31059300	34.45189000
12.16705533	1.22324100	31.86823000
12.33372733	1.13588800	31.00701000
12.50039932	1.13588800	31.86823000
12.66707131	1.04853600	33.59067000
12.83374330	1.04853600	37.03555000
13.00041529	0.96087600	40.48043000
13.16708728	0.96087600	44.78961000
13.33375927	0.87352360	49.09572000
13.50043126	0.87352360	54.26304000
13.66710325	0.78617130	58.56914000
13.83377524	0.78617130	62.01402000
14.00044723	0.69881890	64.59769000
14.16711923	0.69881890	66.32320000
14.33379122	0.61146650	68.04564000
14.50046321	0.61146650	68.04564000
14.66713520	0.52411420	68.04564000
14.83380719	0.52411420	67.18443000
15.00047918	0.43676180	66.32320000
15.16715117	0.43676180	63.73647000
15.33382316	0.34940950	60.29158000
15.50049515	0.34940950	56.84670000
15.66716714	0.26205710	51.67938000
15.83383913	0.26205710	46.51205000
16.00051112	0.17470470	41.34166000
16.16718312	0.08735237	37.03555000
16.33385511	0.17470470	34.45189000
16.50052710	0.26205710	31.86823000
16.66719909	0.26205710	28.42335000
16.83387108	0.26205710	26.70091000
17.00054307	0.34940950	24.11725000
17.16721506	0.43676180	22.39481000
17.33388705	0.43676180	22.39481000
17.50055904	0.52411420	24.11725000
17.66723103	0.52411420	26.70091000
17.83390302	0.61146650	30.14579000
18.00057502	0.61146650	33.59067000
18.16724701	0.69881890	37.03555000
18.33391900	0.69881890	40.48043000
18.50059099	0.78617130	43.06409000
18.66726298	0.87352360	46.51205000
18.83393497	0.87352360	49.95694000
19.00060696	0.87352360	53.40182000
19.16727895	0.96087600	56.84670000
19.33395094	1.04853600	60.29158000
19.50062293	1.04853600	62.87524000
19.66729492	1.13588800	65.45891000
19.83396692	1.13588800	67.18443000
20.00063891	1.22324100	68.04564000
20.16731090	1.22324100	68.90686000
20.33398289	1.31059300	69.76808000
20.50065488	1.39794500	68.90686000
20.66732687	1.39794500	69.76808000
20.83399886	1.48529800	68.90686000
21.00067085	1.48529800	68.04564000
21.16734284	1.57265000	66.32320000
21.33401483	1.57265000	64.59769000
21.50068682	1.66000200	62.87524000
21.66735881	1.74735500	59.43036000
21.83403081	1.74735500	55.98548000
22.00070280	1.83470700	52.54060000
22.16737479	1.83470700	48.23449000
22.33404678	1.92206000	43.92532000
22.50071877	1.92206000	39.61922000
22.66739076	2.00941200	35.31311000
22.83406275	2.00941200	31.86823000
23.00073474	2.00941200	28.42335000
23.16740673	2.09707200	25.83969000
23.33407872	2.18442400	24.97847000
23.50075071	2.18442400	24.97847000
23.66742271	2.18442400	26.70091000
23.83409470	2.27177700	31.00701000
24.00076669	2.35912900	35.31311000
24.16743868	2.35912900	41.34166000
24.33411067	2.44648100	46.51205000
24.50078266	2.44648100	50.81816000
24.66745465	2.53383400	55.12426000
24.83412664	2.53383400	57.70792000
25.00079863	2.62118600	61.15280000
25.16747062	2.62118600	62.87524000
25.33414261	2.70853800	64.59769000
25.50081461	2.70853800	66.32320000
25.66748660	2.79589100	68.04564000
25.83415859	2.88324300	68.90686000
26.00083058	2.88324300	68.90686000
26.16750257	2.97059500	68.90686000
26.33417456	2.97059500	68.90686000
26.50084655	3.05825500	68.04564000
26.66751854	3.14560800	66.32320000
26.83419053	3.14560800	64.59769000
27.00086252	3.14560800	62.87524000
27.16753451	3.23296000	60.29158000
27.33420650	3.32031300	57.70792000
27.50087850	3.32031300	55.12426000
27.66755049	3.40766500	51.67938000
27.83422248	3.40766500	47.37327000
28.00089447	3.40766500	43.06409000
28.16756646	3.49501700	38.75800000
28.33423845	3.58237000	35.31311000
28.50091044	3.58237000	31.86823000
28.66758243	3.66972200	29.28457000
28.83425442	3.66972200	28.42335000
29.00092641	3.75707400	30.14579000
29.16759840	3.75707400	32.72945000
29.33427040	3.84442700	36.17433000
29.50094239	3.93177900	40.48043000
29.66761438	3.93177900	44.78961000
29.83428637	4.01913100	49.09572000
30.00095836	4.01913100	52.54060000
30.16763035	4.10679100	55.98548000
30.33430234	4.10679100	59.43036000
30.50097433	4.10679100	62.01402000
30.66764632	4.19414400	64.59769000
30.83431831	4.28149600	66.32320000
31.00099030	4.28149600	67.18443000
31.16766230	4.36884800	68.04564000
31.33433429	4.36884800	68.04564000
31.50100628	4.45620100	68.90686000
31.66767827	4.45620100	68.04564000
31.83435026	4.54355300	68.04564000
32.00102225	4.54355300	67.18443000
32.16769424	4.63090600	65.45891000
32.33436623	4.71825800	64.59769000
32.50103822	4.71825800	62.87524000
32.66771021	4.80561000	61.15280000
32.83438220	4.80561000	58.56914000
33.00105419	4.89296200	55.98548000
33.16772619	4.89296200	52.54060000
33.33439818	4.98031500	48.23449000
33.50107017	4.98031500	44.78961000
33.66774216	5.06766700	39.61922000
33.83441415	5.06766700	36.17433000
34.00108614	5.15532700	32.72945000
34.16775813	5.15532700	29.28457000
34.33443012	5.24268000	26.70091000
34.50110211	5.24268000	25.83969000
34.66777410	5.33003200	24.97847000
34.83444609	5.33003200	26.70091000
35.00111809	5.41738400	29.28457000
