Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	4.80576400	3.46149100
0.13333600	4.76208800	3.46149100
0.26667200	4.71841100	3.46149100
0.40000799	4.71841100	3.46149100
0.53334399	4.71841100	3.37506200
0.66667999	4.63105900	3.37506200
0.80001599	4.58738300	3.37506200
0.93335198	4.54355300	3.28832400
1.06668798	4.49987700	3.28832400
1.20002398	4.49987700	3.28832400
1.33335998	4.41252500	3.28832400
1.46669598	4.36884800	3.20189500
1.60003197	4.32517200	3.20189500
1.73336797	4.19414400	3.20189500
1.86670397	4.15046700	3.11515700
2.00003997	4.01928500	3.11515700
2.13337597	3.97560900	3.11515700
2.26671196	3.84458000	3.02872800
2.40004796	3.75722800	3.02872800
2.53338396	3.66987600	2.94229800
2.66671996	3.58252300	3.02872800
2.80005595	3.49501700	2.94229800
2.93339195	3.40766500	2.94229800
3.06672795	3.32031300	2.94229800
3.20006395	3.27663600	2.85556100
3.33339995	3.18928400	2.85556100
3.46673594	3.10193200	2.76913100
3.60007194	2.97074900	2.76913100
3.73340794	2.92707300	2.76913100
3.86674394	2.83972100	2.76913100
4.00007993	2.75236800	2.68270200
4.13341593	2.66501600	2.68270200
4.26675193	2.57766400	2.68270200
4.40008793	2.53383400	2.59596500
4.53342393	2.53383400	2.59596500
4.66675992	2.49015700	2.59596500
4.80009592	2.44648100	2.59596500
4.93343192	2.44648100	2.50953500
5.06676792	2.40280500	2.50953500
5.20010391	2.40280500	2.50953500
5.33343991	2.40280500	2.42310500
5.46677591	2.44648100	2.42310500
5.60011191	2.49015700	2.33636800
5.73344791	2.49015700	2.33636800
5.86678390	2.57766400	2.33636800
6.00011990	2.70869200	2.33636800
6.13345590	2.75236800	2.24993800
6.26679190	2.83972100	2.24993800
6.40012790	2.97074900	2.24993800
6.53346389	3.10193200	2.24993800
6.66679989	3.23296000	2.16320100
6.80013589	3.36398900	2.16320100
6.93347189	3.45134100	2.16320100
7.06680788	3.58252300	2.07677200
7.20014388	3.71355200	2.07677200
7.33347988	3.80090400	1.99034200
7.46681588	3.93193300	1.99034200
7.60015188	4.01928500	1.99034200
7.73348787	4.15046700	1.99034200
7.86682387	4.23782000	1.90360500
8.00015987	4.32517200	1.90360500
8.13349587	4.41252500	1.90360500
8.26683186	4.49987700	1.90360500
8.40016786	4.58738300	1.81717500
8.53350386	4.63105900	1.81717500
8.66683986	4.67473600	1.81717500
8.80017586	4.71841100	1.81717500
8.93351185	4.76208800	1.73074600
9.06684785	4.80576400	1.73074600
9.20018385	4.80576400	1.64400800
9.33351985	4.80576400	1.64400800
9.46685584	4.80576400	1.64400800
9.60019184	4.76208800	1.55757900
9.73352784	4.71841100	1.55757900
9.86686384	4.67473600	1.55757900
10.00019984	4.63105900	1.55757900
10.13353583	4.58738300	1.47114900
10.26687183	4.45620100	1.47114900
10.40020783	4.41252500	1.47114900
10.53354383	4.23782000	1.38441200
10.66687983	4.15046700	1.38441200
10.80021582	4.01928500	1.38441200
10.93355182	3.88825700	1.29798200
11.06688782	3.75722800	1.29798200
11.20022382	3.66987600	1.29798200
11.33355981	3.53869300	1.29798200
11.46689581	3.45134100	1.21155300
11.60023181	3.32031300	1.21155300
11.73356781	3.23296000	1.12481500
11.86690381	3.10193200	1.12481500
12.00023980	2.97074900	1.12481500
12.13357580	2.88339700	1.12481500
12.26691180	2.79604500	1.12481500
12.40024780	2.70869200	1.03838600
12.53358379	2.62134000	1.03838600
12.66691979	2.57766400	1.03838600
12.80025579	2.53383400	0.95164860
12.93359179	2.49015700	0.95164860
13.06692779	2.49015700	0.95164860
13.20026378	2.49015700	0.86521900
13.33359978	2.44648100	0.86521900
13.46693578	2.49015700	0.86521900
13.60027178	2.53383400	0.77878930
13.73360778	2.62134000	0.77878930
13.86694377	2.66501600	0.77878930
14.00027977	2.70869200	0.77878930
14.13361577	2.79604500	0.77878930
14.26695177	2.88339700	0.69205220
14.40028776	2.97074900	0.69205220
14.53362376	3.10193200	0.60562250
14.66695976	3.18928400	0.60562250
14.80029576	3.27663600	0.60562250
14.93363176	3.40766500	0.51919290
15.06696775	3.49501700	0.51919290
15.20030375	3.62619900	0.51919290
15.33363975	3.71355200	0.43245570
15.46697575	3.80090400	0.43245570
15.60031174	3.93193300	0.43245570
15.73364774	4.01928500	0.43245570
15.86698374	4.10679100	0.34602610
16.00031974	4.19414400	0.34602610
16.13365574	4.28149600	0.25959650
16.26699173	4.41252500	0.25959650
16.40032773	4.45620100	0.25959650
16.53366373	4.54355300	0.25959650
16.66699973	4.67473600	0.25959650
