Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	1.66015600	1.03838600
0.13333600	1.61648000	1.12481500
0.26667200	1.61648000	1.12481500
0.40000799	1.61648000	1.12481500
0.53334399	1.57280400	1.12481500
0.66667999	1.57280400	1.21155300
0.80001599	1.57280400	1.21155300
0.93335198	1.52912800	1.29798200
1.06668798	1.52912800	1.29798200
1.20002398	1.52912800	1.38441200
1.33335998	1.48529800	1.29798200
1.46669598	1.48529800	1.38441200
1.60003197	1.48529800	1.38441200
1.73336797	1.48529800	1.47114900
1.86670397	1.48529800	1.47114900
2.00003997	1.48529800	1.47114900
2.13337597	1.44162200	1.47114900
2.26671196	1.48529800	1.55757900
2.40004796	1.44162200	1.55757900
2.53338396	1.44162200	1.55757900
2.66671996	1.44162200	1.64400800
2.80005595	1.44162200	1.64400800
2.93339195	1.44162200	1.64400800
3.06672795	1.44162200	1.73074600
3.20006395	1.44162200	1.73074600
3.33339995	1.44162200	1.73074600
3.46673594	1.44162200	1.73074600
3.60007194	1.44162200	1.81717500
3.73340794	1.39794500	1.81717500
3.86674394	1.48529800	1.81717500
4.00007993	1.44162200	1.90360500
4.13341593	1.48529800	1.90360500
4.26675193	1.48529800	1.99034200
4.40008793	1.48529800	1.99034200
4.53342393	1.48529800	1.99034200
4.66675992	1.48529800	1.99034200
4.80009592	1.48529800	2.07677200
4.93343192	1.52912800	2.07677200
5.06676792	1.52912800	2.07677200
5.20010391	1.57280400	2.16320100
5.33343991	1.57280400	2.16320100
5.46677591	1.61648000	2.16320100
5.60011191	1.61648000	2.24993800
5.73344791	1.61648000	2.24993800
5.86678390	1.61648000	2.24993800
6.00011990	1.66015600	2.24993800
6.13345590	1.70383200	2.33636800
6.26679190	1.74750900	2.33636800
6.40012790	1.74750900	2.42310500
6.53346389	1.74750900	2.42310500
6.66679989	1.79118500	2.42310500
6.80013589	1.79118500	2.42310500
6.93347189	1.79118500	2.50953500
7.06680788	1.83486100	2.50953500
7.20014388	1.87853700	2.50953500
7.33347988	1.87853700	2.59596500
7.46681588	1.87853700	2.59596500
7.60015188	1.92221300	2.59596500
7.73348787	1.92221300	2.68270200
7.86682387	1.96588900	2.68270200
8.00015987	1.96588900	2.68270200
8.13349587	1.96588900	2.76913100
8.26683186	1.96588900	2.76913100
8.40016786	2.00956600	2.85556100
8.53350386	1.96588900	2.85556100
8.66683986	1.96588900	2.85556100
8.80017586	1.96588900	2.85556100
8.93351185	1.96588900	2.94229800
9.06684785	1.96588900	2.94229800
9.20018385	1.96588900	2.94229800
9.33351985	1.92221300	2.94229800
9.46685584	1.92221300	3.02872800
9.60019184	1.92221300	3.02872800
9.73352784	1.92221300	3.02872800
9.86686384	1.87853700	3.11515700
10.00019984	1.83486100	3.11515700
10.13353583	1.87853700	3.11515700
10.26687183	1.83486100	3.20189500
10.40020783	1.79118500	3.20189500
10.53354383	1.79118500	3.20189500
10.66687983	1.74750900	3.28832400
10.80021582	1.74750900	3.28832400
10.93355182	1.70383200	3.28832400
11.06688782	1.66015600	3.28832400
11.20022382	1.61648000	3.37506200
11.33355981	1.61648000	3.37506200
11.46689581	1.61648000	3.37506200
11.60023181	1.57280400	3.46149100
11.73356781	1.57280400	3.46149100
11.86690381	1.52912800	3.46149100
12.00023980	1.48529800	3.54792100
12.13357580	1.48529800	3.54792100
12.26691180	1.48529800	3.54792100
12.40024780	1.48529800	3.63465800
12.53358379	1.44162200	3.63465800
12.66691979	1.44162200	3.63465800
12.80025579	1.44162200	3.72108800
12.93359179	1.44162200	3.72108800
13.06692779	1.39794500	3.72108800
13.20026378	1.39794500	3.80751700
13.33359978	1.39794500	3.80751700
13.46693578	1.39794500	3.80751700
13.60027178	1.44162200	3.80751700
13.73360778	1.44162200	3.89425400
13.86694377	1.44162200	3.89425400
14.00027977	1.48529800	3.89425400
14.13361577	1.52912800	3.98068400
14.26695177	1.52912800	3.98068400
14.40028776	1.52912800	3.98068400
14.53362376	1.57280400	4.06711400
14.66695976	1.57280400	4.06711400
14.80029576	1.61648000	4.06711400
14.93363176	1.66015600	4.06711400
15.06696775	1.66015600	4.15385100
15.20030375	1.70383200	4.15385100
15.33363975	1.70383200	4.15385100
15.46697575	1.74750900	4.24028100
15.60031174	1.74750900	4.24028100
15.73364774	1.79118500	4.24028100
15.86698374	1.79118500	4.32671000
16.00031974	1.83486100	4.32671000
16.13365574	1.83486100	4.32671000
16.26699173	1.87853700	4.41344700
16.40032773	1.87853700	4.41344700
16.53366373	1.87853700	4.41344700
16.66699973	1.92221300	4.49987700
