Frekvens	Kanal A	Kanal B
(s)	(V)	(V)

0.00000000	2.57766400	9.17322800
0.00013334	2.57766400	9.17322800
0.00026667	2.57766400	9.25965800
0.00040001	2.57766400	9.25965800
0.00053334	2.62134000	9.25965800
0.00066668	2.66501600	9.34608700
0.00080002	2.66501600	9.34608700
0.00093335	2.70869200	9.43282500
0.00106669	2.70869200	9.34608700
0.00120002	2.70869200	9.43282500
0.00133336	2.66501600	9.43282500
0.00146670	2.70869200	9.51925500
0.00160003	2.70869200	9.51925500
0.00173337	2.70869200	9.51925500
0.00186670	2.75236800	9.51925500
0.00200004	2.75236800	9.60568400
0.00213338	2.79604500	9.60568400
0.00226671	2.75236800	9.69242100
0.00240005	2.83972100	9.69242100
0.00253338	2.83972100	9.69242100
0.00266672	2.88339700	9.69242100
0.00280006	2.88339700	9.69242100
0.00293339	2.92707300	9.77885100
0.00306673	2.97074900	9.77885100
0.00320006	2.97074900	9.77885100
0.00333340	2.97074900	9.77885100
0.00346674	2.97074900	9.69242100
0.00360007	2.97074900	9.69242100
0.00373341	2.97074900	9.69242100
0.00386674	2.97074900	9.69242100
0.00400008	2.92707300	9.60568400
0.00413342	2.92707300	9.60568400
0.00426675	2.88339700	9.60568400
0.00440009	2.88339700	9.51925500
0.00453342	2.83972100	9.51925500
0.00466676	2.83972100	9.51925500
0.00480010	2.83972100	9.51925500
0.00493343	2.79604500	9.43282500
0.00506677	2.79604500	9.43282500
0.00520010	2.79604500	9.43282500
0.00533344	2.75236800	9.34608700
0.00546678	2.75236800	9.34608700
0.00560011	2.70869200	9.34608700
0.00573345	2.70869200	9.25965800
0.00586678	2.66501600	9.25965800
0.00600012	2.62134000	9.25965800
0.00613346	2.62134000	9.17322800
0.00626679	2.57766400	9.17322800
0.00640013	2.57766400	9.17322800
0.00653346	2.57766400	9.17322800
0.00666680	2.57766400	9.08649100
0.00680014	2.53383400	9.08649100
0.00693347	2.53383400	9.00006100
0.00706681	2.53383400	9.00006100
0.00720014	2.53383400	9.00006100
0.00733348	2.49015700	8.91363100
0.00746682	2.44648100	9.00006100
0.00760015	2.49015700	8.91363100
0.00773349	2.49015700	8.91363100
0.00786682	2.44648100	8.82689500
0.00800016	2.49015700	8.82689500
0.00813350	2.49015700	8.82689500
0.00826683	2.49015700	8.74046500
0.00840017	2.49015700	8.74046500
0.00853350	2.49015700	8.74046500
0.00866684	2.49015700	8.74046500
0.00880018	2.49015700	8.65372800
0.00893351	2.49015700	8.65372800
0.00906685	2.49015700	8.65372800
0.00920018	2.53383400	8.56729800
0.00933352	2.49015700	8.56729800
0.00946686	2.53383400	8.56729800
0.00960019	2.53383400	8.56729800
0.00973353	2.57766400	8.48086800
0.00986686	2.53383400	8.48086800
0.01000020	2.57766400	8.48086800
0.01013354	2.62134000	8.39413200
0.01026687	2.62134000	8.39413200
0.01040021	2.66501600	8.39413200
0.01053354	2.66501600	8.30770200
0.01066688	2.66501600	8.30770200
0.01080022	2.70869200	8.22127200
0.01093355	2.70869200	8.22127200
0.01106689	2.75236800	8.22127200
0.01120022	2.75236800	8.22127200
0.01133356	2.79604500	8.13453500
