Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	2.83972100	6.05776300
0.13333600	2.75236800	5.97102600
0.26667200	2.66501600	5.97102600
0.40000799	2.62134000	5.97102600
0.53334399	2.53383400	5.88459600
0.66667999	2.49015700	5.88459600
0.80001599	2.49015700	5.88459600
0.93335198	2.44648100	5.79816700
1.06668798	2.40280500	5.79816700
1.20002398	2.35912900	5.79816700
1.33335998	2.35912900	5.71143000
1.46669598	2.31545300	5.79816700
1.60003197	2.27177700	5.71143000
1.73336797	2.22810000	5.71143000
1.86670397	2.22810000	5.62500000
2.00003997	2.18442400	5.62500000
2.13337597	2.18442400	5.62500000
2.26671196	2.18442400	5.62500000
2.40004796	2.14074800	5.53857000
2.53338396	2.18442400	5.53857000
2.66671996	2.18442400	5.45183300
2.80005595	2.18442400	5.45183300
2.93339195	2.18442400	5.45183300
3.06672795	2.22810000	5.45183300
3.20006395	2.22810000	5.36540400
3.33339995	2.27177700	5.36540400
3.46673594	2.27177700	5.36540400
3.60007194	2.31545300	5.27866600
3.73340794	2.31545300	5.27866600
3.86674394	2.35912900	5.27866600
4.00007993	2.35912900	5.19223700
4.13341593	2.40280500	5.19223700
4.26675193	2.44648100	5.19223700
4.40008793	2.44648100	5.19223700
4.53342393	2.53383400	5.10580700
4.66675992	2.53383400	5.10580700
4.80009592	2.57766400	5.10580700
4.93343192	2.62134000	5.01907000
5.06676792	2.70869200	5.01907000
5.20010391	2.75236800	4.93264000
5.33343991	2.83972100	4.93264000
5.46677591	2.92707300	4.93264000
5.60011191	2.97074900	4.93264000
5.73344791	3.01442600	4.84621000
5.86678390	3.14560800	4.84621000
6.00011990	3.18928400	4.84621000
6.13345590	3.27663600	4.84621000
6.26679190	3.32031300	4.75947300
6.40012790	3.36398900	4.75947300
6.53346389	3.40766500	4.75947300
6.66679989	3.45134100	4.67304400
6.80013589	3.45134100	4.67304400
6.93347189	3.49501700	4.58661400
7.06680788	3.58252300	4.67304400
7.20014388	3.53869300	4.58661400
7.33347988	3.62619900	4.58661400
7.46681588	3.66987600	4.49987700
7.60015188	3.66987600	4.49987700
7.73348787	3.71355200	4.49987700
7.86682387	3.71355200	4.49987700
8.00015987	3.75722800	4.41344700
8.13349587	3.71355200	4.41344700
8.26683186	3.71355200	4.41344700
8.40016786	3.71355200	4.32671000
8.53350386	3.71355200	4.32671000
8.66683986	3.71355200	4.32671000
8.80017586	3.66987600	4.24028100
8.93351185	3.66987600	4.24028100
9.06684785	3.62619900	4.24028100
9.20018385	3.62619900	4.24028100
9.33351985	3.58252300	4.15385100
9.46685584	3.58252300	4.15385100
9.60019184	3.53869300	4.15385100
9.73352784	3.49501700	4.06711400
9.86686384	3.40766500	4.06711400
10.00019984	3.27663600	4.06711400
10.13353583	3.23296000	3.98068400
10.26687183	3.14560800	3.98068400
10.40020783	3.05825500	3.89425400
10.53354383	3.01442600	3.89425400
10.66687983	2.97074900	3.89425400
10.80021582	2.97074900	3.89425400
10.93355182	2.92707300	3.80751700
11.06688782	2.88339700	3.80751700
11.20022382	2.79604500	3.80751700
11.33355981	2.75236800	3.80751700
11.46689581	2.70869200	3.72108800
11.60023181	2.57766400	3.72108800
11.73356781	2.57766400	3.72108800
11.86690381	2.44648100	3.63465800
12.00023980	2.44648100	3.63465800
12.13357580	2.35912900	3.63465800
12.26691180	2.35912900	3.63465800
12.40024780	2.27177700	3.54792100
12.53358379	2.27177700	3.54792100
12.66691979	2.22810000	3.46149100
12.80025579	2.22810000	3.46149100
12.93359179	2.22810000	3.46149100
13.06692779	2.22810000	3.37506200
13.20026378	2.22810000	3.37506200
13.33359978	2.18442400	3.37506200
13.46693578	2.22810000	3.37506200
13.60027178	2.18442400	3.28832400
13.73360778	2.18442400	3.28832400
13.86694377	2.22810000	3.28832400
14.00027977	2.22810000	3.28832400
14.13361577	2.22810000	3.20189500
14.26695177	2.31545300	3.20189500
14.40028776	2.35912900	3.20189500
14.53362376	2.35912900	3.11515700
14.66695976	2.35912900	3.11515700
14.80029576	2.40280500	3.11515700
14.93363176	2.44648100	3.02872800
15.06696775	2.44648100	3.02872800
15.20030375	2.49015700	2.94229800
15.33363975	2.53383400	2.94229800
15.46697575	2.57766400	2.94229800
15.60031174	2.62134000	2.94229800
15.73364774	2.66501600	2.85556100
15.86698374	2.75236800	2.85556100
16.00031974	2.83972100	2.85556100
16.13365574	2.92707300	2.85556100
16.26699173	2.92707300	2.85556100
16.40032773	3.05825500	2.76913100
16.53366373	3.10193200	2.76913100
16.66699973	3.18928400	2.68270200
