Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	2.49015700	9.43282500
0.13333600	2.49015700	9.34608700
0.26667200	2.49015700	9.34608700
0.40000799	2.49015700	9.34608700
0.53334399	2.44648100	9.25965800
0.66667999	2.44648100	9.25965800
0.80001599	2.40280500	9.25965800
0.93335198	2.40280500	9.25965800
1.06668798	2.35912900	9.17322800
1.20002398	2.35912900	9.17322800
1.33335998	2.31545300	9.17322800
1.46669598	2.27177700	9.08649100
1.60003197	2.27177700	9.08649100
1.73336797	2.27177700	9.08649100
1.86670397	2.27177700	9.00006100
2.00003997	2.22810000	9.00006100
2.13337597	2.22810000	9.00006100
2.26671196	2.18442400	8.91363100
2.40004796	2.18442400	8.91363100
2.53338396	2.18442400	8.91363100
2.66671996	2.18442400	8.82689500
2.80005595	2.18442400	8.82689500
2.93339195	2.18442400	8.82689500
3.06672795	2.18442400	8.74046500
3.20006395	2.18442400	8.74046500
3.33339995	2.18442400	8.74046500
3.46673594	2.18442400	8.65372800
3.60007194	2.18442400	8.65372800
3.73340794	2.18442400	8.65372800
3.86674394	2.18442400	8.56729800
4.00007993	2.18442400	8.56729800
4.13341593	2.22810000	8.56729800
4.26675193	2.22810000	8.56729800
4.40008793	2.22810000	8.48086800
4.53342393	2.27177700	8.48086800
4.66675992	2.27177700	8.48086800
4.80009592	2.27177700	8.48086800
4.93343192	2.31545300	8.39413200
5.06676792	2.31545300	8.39413200
5.20010391	2.31545300	8.30770200
5.33343991	2.35912900	8.30770200
5.46677591	2.40280500	8.30770200
5.60011191	2.44648100	8.30770200
5.73344791	2.44648100	8.22127200
5.86678390	2.49015700	8.22127200
6.00011990	2.53383400	8.13453500
6.13345590	2.53383400	8.13453500
6.26679190	2.57766400	8.13453500
6.40012790	2.57766400	8.13453500
6.53346389	2.62134000	8.04810500
6.66679989	2.66501600	8.04810500
6.80013589	2.70869200	8.04810500
6.93347189	2.75236800	7.96167600
7.06680788	2.79604500	7.96167600
7.20014388	2.83972100	7.96167600
7.33347988	2.88339700	7.87493800
7.46681588	2.92707300	7.87493800
7.60015188	2.97074900	7.87493800
7.73348787	3.01442600	7.87493800
7.86682387	3.05825500	7.78850900
8.00015987	3.10193200	7.78850900
8.13349587	3.18928400	7.78850900
8.26683186	3.23296000	7.70177200
8.40016786	3.23296000	7.70177200
8.53350386	3.32031300	7.70177200
8.66683986	3.36398900	7.61534200
8.80017586	3.36398900	7.61534200
8.93351185	3.40766500	7.61534200
9.06684785	3.49501700	7.61534200
9.20018385	3.49501700	7.52891300
9.33351985	3.53869300	7.52891300
9.46685584	3.58252300	7.52891300
9.60019184	3.62619900	7.44217500
9.73352784	3.62619900	7.44217500
9.86686384	3.66987600	7.44217500
10.00019984	3.66987600	7.35574500
10.13353583	3.71355200	7.35574500
10.26687183	3.75722800	7.26931600
10.40020783	3.71355200	7.26931600
10.53354383	3.75722800	7.26931600
10.66687983	3.75722800	7.26931600
10.80021582	3.80090400	7.18257900
10.93355182	3.75722800	7.18257900
11.06688782	3.80090400	7.18257900
11.20022382	3.75722800	7.09614900
11.33355981	3.80090400	7.09614900
11.46689581	3.75722800	7.09614900
11.60023181	3.75722800	7.00971900
11.73356781	3.71355200	7.00971900
11.86690381	3.71355200	7.00971900
12.00023980	3.71355200	7.00971900
12.13357580	3.71355200	6.92298200
12.26691180	3.66987600	6.92298200
12.40024780	3.66987600	6.92298200
12.53358379	3.66987600	6.83655300
12.66691979	3.62619900	6.83655300
12.80025579	3.58252300	6.83655300
12.93359179	3.53869300	6.75012300
13.06692779	3.53869300	6.75012300
13.20026378	3.49501700	6.75012300
13.33359978	3.45134100	6.75012300
13.46693578	3.40766500	6.66338600
13.60027178	3.36398900	6.66338600
13.73360778	3.32031300	6.66338600
13.86694377	3.27663600	6.66338600
14.00027977	3.23296000	6.57695600
14.13361577	3.18928400	6.57695600
14.26695177	3.14560800	6.57695600
14.40028776	3.10193200	6.49021900
14.53362376	3.05825500	6.49021900
14.66695976	2.97074900	6.49021900
14.80029576	2.92707300	6.40379000
14.93363176	2.88339700	6.40379000
15.06696775	2.79604500	6.31736000
15.20030375	2.70869200	6.31736000
15.33363975	2.66501600	6.31736000
15.46697575	2.62134000	6.31736000
15.60031174	2.53383400	6.23062200
15.73364774	2.53383400	6.23062200
15.86698374	2.44648100	6.23062200
16.00031974	2.44648100	6.23062200
16.13365574	2.40280500	6.14419300
16.26699173	2.35912900	6.14419300
16.40032773	2.35912900	6.14419300
16.53366373	2.27177700	6.05776300
16.66699973	2.27177700	6.05776300
