Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	1.69617400	7.70177200
0.01000000	1.69617400	7.78850900
0.02000000	1.69617400	7.78850900
0.03000000	1.69617400	7.70177200
0.04000000	1.69617400	7.70177200
0.05000000	1.69617400	7.70177200
0.06000000	1.69617400	7.78850900
0.07000000	1.69617400	7.78850900
0.08000000	1.69617400	7.78850900
0.09000000	1.69617400	7.78850900
0.10000000	1.69617400	7.78850900
0.11000000	1.69617400	7.78850900
0.12000000	1.71346000	7.78850900
0.13000000	1.71346000	7.78850900
0.14000000	1.71346000	7.78850900
0.15000000	1.71346000	7.78850900
0.16000000	1.71346000	7.78850900
0.17000000	1.71346000	7.78850900
0.18000000	1.71346000	7.78850900
0.19000000	1.71346000	7.78850900
0.19999999	1.71346000	7.78850900
0.20999999	1.71346000	7.78850900
0.21999999	1.71346000	7.78850900
0.22999999	1.71346000	7.78850900
0.23999999	1.71346000	7.78850900
0.24999999	1.71346000	7.78850900
0.25999999	1.71346000	7.78850900
0.26999999	1.71346000	7.78850900
0.27999999	1.73074600	7.78850900
0.28999999	1.71346000	7.78850900
0.29999999	1.71346000	7.78850900
0.30999999	1.71346000	7.78850900
0.31999999	1.71346000	7.78850900
0.32999999	1.71346000	7.78850900
0.33999999	1.73074600	7.78850900
0.34999999	1.73074600	7.78850900
0.35999999	1.73074600	7.78850900
0.36999999	1.73074600	7.78850900
0.37999999	1.73074600	7.87493800
0.38999999	1.73074600	7.87493800
0.39999999	1.73074600	7.78850900
0.40999999	1.73074600	7.78850900
0.41999999	1.73074600	7.78850900
0.42999999	1.73074600	7.87493800
0.43999999	1.73074600	7.78850900
0.44999999	1.73074600	7.78850900
0.45999999	1.73074600	7.87493800
0.46999999	1.73074600	7.87493800
0.47999999	1.73074600	7.87493800
0.48999999	1.73074600	7.87493800
0.49999999	1.73074600	7.87493800
0.50999999	1.73074600	7.87493800
0.51999999	1.73074600	7.87493800
0.52999999	1.73074600	7.87493800
0.53999999	1.73074600	7.87493800
0.54999999	1.73074600	7.87493800
0.55999999	1.73074600	7.87493800
0.56999999	1.73074600	7.87493800
0.57999999	1.73074600	7.87493800
0.58999999	1.73074600	7.87493800
0.59999998	1.73074600	7.87493800
0.60999998	1.73074600	7.87493800
0.61999998	1.73074600	7.87493800
0.62999998	1.73074600	7.87493800
0.63999998	1.73074600	7.87493800
0.64999998	1.74809300	7.87493800
0.65999998	1.73074600	7.87493800
0.66999998	1.73074600	7.87493800
0.67999998	1.74809300	7.87493800
0.68999998	1.74809300	7.87493800
0.69999998	1.74809300	7.87493800
0.70999998	1.74809300	7.87493800
0.71999998	1.74809300	7.87493800
0.72999998	1.74809300	7.87493800
0.73999998	1.74809300	7.87493800
0.74999998	1.74809300	7.87493800
0.75999998	1.74809300	7.87493800
0.76999998	1.74809300	7.87493800
0.77999998	1.74809300	7.87493800
0.78999998	1.74809300	7.87493800
0.79999998	1.74809300	7.87493800
0.80999998	1.74809300	7.87493800
0.81999998	1.74809300	7.87493800
0.82999998	1.74809300	7.87493800
0.83999998	1.74809300	7.87493800
0.84999998	1.74809300	7.96167600
0.85999998	1.74809300	7.87493800
0.86999998	1.74809300	7.96167600
0.87999998	1.74809300	7.87493800
0.88999998	1.74809300	7.96167600
0.89999998	1.74809300	7.87493800
0.90999998	1.74809300	7.87493800
0.91999998	1.74809300	7.96167600
0.92999998	1.74809300	7.87493800
0.93999998	1.74809300	7.87493800
0.94999998	1.74809300	7.96167600
0.95999998	1.74809300	7.87493800
0.96999998	1.74809300	7.96167600
0.97999998	1.74809300	7.96167600
0.98999997	1.74809300	7.96167600
0.99999997	1.74809300	7.96167600
1.00999997	1.74809300	7.96167600
1.01999997	1.74809300	7.96167600
1.02999997	1.74809300	7.96167600
1.03999997	1.74809300	7.96167600
1.04999997	1.74809300	7.96167600
1.05999997	1.74809300	7.96167600
1.06999997	1.74809300	7.96167600
1.07999997	1.74809300	7.96167600
1.08999997	1.74809300	7.96167600
1.09999997	1.74809300	7.96167600
1.10999997	1.74809300	7.96167600
1.11999997	1.74809300	7.96167600
1.12999997	1.74809300	7.96167600
1.13999997	1.74809300	7.96167600
1.14999997	1.74809300	7.96167600
1.15999997	1.74809300	7.96167600
1.16999997	1.74809300	7.96167600
1.17999997	1.74809300	7.96167600
1.18999997	1.74809300	7.96167600
1.19999997	1.74809300	7.96167600
1.20999997	1.74809300	7.96167600
1.21999997	1.74809300	7.96167600
1.22999997	1.74809300	7.96167600
1.23999997	1.74809300	7.96167600
1.24999997	1.74809300	7.96167600
