Tid	Kanal A
(s)	(V)

-2.00568247	1.29902800
-2.00534913	1.28045000
-2.00501580	1.29902800
-2.00468246	1.29902800
-2.00434912	1.29902800
-2.00401579	1.29902800
-2.00368245	1.29902800
-2.00334912	1.28045000
-2.00301578	1.28045000
-2.00268244	1.28045000
-2.00234911	1.28045000
-2.00201577	1.28045000
-2.00168244	1.28045000
-2.00134910	1.28045000
-2.00101576	1.28045000
-2.00068243	1.28045000
-2.00034909	1.29902800
-2.00001576	1.29902800
-1.99968242	1.28045000
-1.99934908	1.28045000
-1.99901575	1.29902800
-1.99868241	1.28045000
-1.99834908	1.29902800
-1.99801574	1.28045000
-1.99768240	1.29902800
-1.99734907	1.28045000
-1.99701573	1.28045000
-1.99668240	1.28045000
-1.99634906	1.29902800
-1.99601573	1.29902800
-1.99568239	1.29902800
-1.99534905	1.28045000
-1.99501572	1.28045000
-1.99468238	1.28045000
-1.99434905	1.28045000
-1.99401571	1.28045000
-1.99368237	1.28045000
-1.99334904	1.28045000
-1.99301570	1.26187300
-1.99268237	1.28045000
-1.99234903	1.28045000
-1.99201569	1.28045000
-1.99168236	1.28045000
-1.99134902	1.28045000
-1.99101569	1.28045000
-1.99068235	1.28045000
-1.99034901	1.28045000
-1.99001568	1.28045000
-1.98968234	1.28045000
-1.98934901	1.28045000
-1.98901567	1.28045000
-1.98868233	1.28045000
-1.98834900	1.28045000
-1.98801566	1.28045000
-1.98768233	1.28045000
-1.98734899	1.28045000
-1.98701565	1.26187300
-1.98668232	1.26187300
-1.98634898	1.26187300
-1.98601565	1.26187300
-1.98568231	1.26187300
-1.98534897	1.26187300
-1.98501564	1.26187300
-1.98468230	1.26187300
-1.98434897	1.26187300
-1.98401563	1.26187300
-1.98368229	1.26187300
-1.98334896	1.26187300
-1.98301562	1.26187300
-1.98268229	1.26187300
-1.98234895	1.26187300
-1.98201561	1.28045000
-1.98168228	1.28045000
-1.98134894	1.28045000
-1.98101561	1.28045000
-1.98068227	1.28045000
-1.98034893	1.28045000
-1.98001560	1.28045000
-1.97968226	1.28045000
-1.97934893	1.28045000
-1.97901559	1.26187300
-1.97868225	1.26187300
-1.97834892	1.26187300
-1.97801558	1.26187300
-1.97768225	1.28045000
-1.97734891	1.26187300
-1.97701557	1.26187300
-1.97668224	1.26187300
-1.97634890	1.26187300
-1.97601557	1.28045000
-1.97568223	1.28045000
-1.97534889	1.26187300
-1.97501556	1.26187300
-1.97468222	1.24335600
-1.97434889	1.26187300
-1.97401555	1.26187300
-1.97368221	1.26187300
-1.97334888	1.24335600
-1.97301554	1.24335600
-1.97268221	1.24335600
-1.97234887	1.24335600
-1.97201553	1.24335600
-1.97168220	1.26187300
-1.97134886	1.24335600
-1.97101553	1.24335600
-1.97068219	1.24335600
-1.97034885	1.24335600
-1.97001552	1.24335600
-1.96968218	1.24335600
-1.96934885	1.24335600
-1.96901551	1.24335600
-1.96868217	1.24335600
-1.96834884	1.24335600
-1.96801550	1.24335600
-1.96768217	1.24335600
-1.96734883	1.24335600
-1.96701549	1.24335600
-1.96668216	1.24335600
-1.96634882	1.24335600
-1.96601549	1.24335600
-1.96568215	1.24335600
-1.96534882	1.24335600
-1.96501548	1.24335600
-1.96468214	1.24335600
-1.96434881	1.24335600
-1.96401547	1.26187300
-1.96368214	1.26187300
-1.96334880	1.24335600
-1.96301546	1.24335600
-1.96268213	1.22477900
-1.96234879	1.22477900
-1.96201546	1.22477900
-1.96168212	1.22477900
-1.96134878	1.22477900
-1.96101545	1.22477900
-1.96068211	1.22477900
-1.96034878	1.22477900
-1.96001544	1.22477900
-1.95968210	1.22477900
-1.95934877	1.22477900
-1.95901543	1.22477900
-1.95868210	1.22477900
-1.95834876	1.22477900
-1.95801542	1.22477900
-1.95768209	1.24335600
-1.95734875	1.22477900
-1.95701542	1.22477900
-1.95668208	1.22477900
-1.95634874	1.24335600
-1.95601541	1.22477900
-1.95568207	1.24335600
-1.95534874	1.22477900
-1.95501540	1.22477900
-1.95468206	1.22477900
-1.95434873	1.22477900
-1.95401539	1.22477900
-1.95368206	1.22477900
-1.95334872	1.22477900
-1.95301538	1.22477900
-1.95268205	1.22477900
-1.95234871	1.24335600
-1.95201538	1.22477900
-1.95168204	1.24335600
