navn,90s,gule kort,hold
Emma Nøddelund,14.0,1,Aalborg-BK
Benedickte Rasmussen,13.8,3,Aalborg-BK
Cille Holst,13.4,1,Aalborg-BK
Ulrike Linde,10.2,0,Aalborg-BK
Sofie Lybæk,12.8,2,Aalborg-BK
Pernille Pedersen,11.2,0,Aalborg-BK
Julie Andersen,10.5,0,Aalborg-BK
Amandine Pierre-Louis,9.6,0,Aalborg-BK
Nicole Robertson,9.0,0,Aalborg-BK
Lauren Harkes,9.2,1,Aalborg-BK
Karoline Petersen,9.2,0,Aalborg-BK
Line Andersen,7.0,1,Aalborg-BK
Emberly Sevilla,7.0,0,Aalborg-BK
Linea Jørgensen,4.2,6,Aalborg-BK
Lærke Hammer,1.8,0,Aalborg-BK
Emilie Dolleris Billing,3.0,0,Aalborg-BK
Emile Sands,2.7,0,Aalborg-BK
Georgia Wilson,2.5,0,Aalborg-BK
Frida Sørensen,1.4,0,Aalborg-BK
Camilla Carlsen,0.8,0,Aalborg-BK
Sille Fejerskov,0.6,0,Aalborg-BK
Emma Simonsen,0.2,0,Aalborg-BK
Stine Nørgaard,0.1,0,Aalborg-BK
Jacob Rinne,28.0,1,Aalborg
Iver Fossum,26.2,1,Aalborg
Rasmus Thelander,26.0,5,Aalborg
Kristoffer Pallesen,24.6,6,Aalborg
Louka Prip,24.7,0,Aalborg
Malthe Hojholt,22.5,7,Aalborg
Daniel Granli,22.1,3,Aalborg
Milan Makarić,17.6,1,Aalborg
Mathias Ross,17.8,9,Aalborg
Anders Hagelskjær,18.2,4,Aalborg
Jakob Ahlmann Nielsen,13.7,6,Aalborg
Kasper Kusk,12.0,0,Aalborg
Pedro Ferreira,11.0,8,Aalborg
Magnus Christensen,9.2,5,Aalborg
Frederik Børsting,9.2,3,Aalborg
Kasper Waarst Høgh,4.4,0,Aalborg
Aleksandar Trajkovski,3.1,0,Aalborg
Tim Prica,5.4,0,Aalborg
Lucas Andersen,3.4,0,Aalborg
Rufo,1.8,1,Aalborg
Marcus Hannesbo,2.1,0,Aalborg
Guðmundur Þórarinsson,1.6,0,Aalborg
Oliver Ross,1.0,1,Aalborg
Anosike Ementa,1.0,1,Aalborg
Casper Hansen,0.9,0,Aalborg
Vladimir Prijović,0.1,0,Aalborg
Anders Noshe,0.0,0,Aalborg
Maria Herdel Pedersen,14.0,1,Aarhus-GF
Sofie Laursen,13.8,1,Aarhus-GF
Ásla Johannesen,13.8,0,Aarhus-GF
Sofie Jørgensen,12.6,0,Aarhus-GF
Tina Fremo,12.8,1,Aarhus-GF
Katrine Svane,12.0,0,Aarhus-GF
Jenna McCormick,11.0,2,Aarhus-GF
