Tid	Kanal &A
(ms)	(V)

-300.99996924	0.29822840
-299.99996931	0.27958910
-298.99996938	0.27958910
-297.99996945	0.27958910
-296.99996952	0.27958910
-295.99996959	0.27958910
-294.99996966	0.27958910
-293.99996973	0.29822840
-292.99996980	0.29822840
-291.99996986	0.29822840
-290.99996993	0.29822840
-289.99997000	0.29822840
-288.99997007	0.27958910
-287.99997014	0.27958910
-286.99997021	0.27958910
-285.99997028	0.27958910
-284.99997035	0.29822840
-283.99997042	0.29822840
-282.99997048	0.29822840
-281.99997055	0.29822840
-280.99997062	0.27958910
-279.99997069	0.27958910
-278.99997076	0.29822840
-277.99997083	0.27958910
-276.99997090	0.27958910
-275.99997097	0.27958910
-274.99997104	0.29822840
-273.99997110	0.29822840
-272.99997117	0.29822840
-271.99997124	0.29822840
-270.99997131	0.29822840
-269.99997138	0.29822840
-268.99997145	0.29822840
-267.99997152	0.29822840
-266.99997159	0.29822840
-265.99997166	0.29822840
-264.99997173	0.31686760
-263.99997179	0.31686760
-262.99997186	0.29822840
-261.99997193	0.29822840
-260.99997200	0.29822840
-259.99997207	0.29822840
-258.99997214	0.29822840
-257.99997221	0.29822840
-256.99997228	0.29822840
-255.99997235	0.29822840
-254.99997241	0.29822840
-253.99997248	0.31686760
-252.99997255	0.29822840
-251.99997262	0.29822840
-250.99997269	0.29822840
-249.99997276	0.29822840
-248.99997283	0.29822840
-247.99997290	0.29822840
-246.99997297	0.29822840
-245.99997303	0.29822840
-244.99997310	0.29822840
-243.99997317	0.27958910
-242.99997324	0.29822840
-241.99997331	0.29822840
-240.99997338	0.29822840
-239.99997345	0.29822840
-238.99997352	0.29822840
-237.99997359	0.29822840
-236.99997365	0.29822840
-235.99997372	0.29822840
-234.99997379	0.33550690
-233.99997386	0.29822840
-232.99997393	0.27958910
-231.99997400	0.29822840
-230.99997407	0.29822840
-229.99997414	0.29822840
-228.99997421	0.29822840
-227.99997428	0.29822840
-226.99997434	0.29822840
-225.99997441	0.29822840
-224.99997448	0.31686760
-223.99997455	0.29822840
-222.99997462	0.29822840
-221.99997469	0.29822840
-220.99997476	0.29822840
-219.99997483	0.29822840
-218.99997490	0.29822840
-217.99997496	0.29822840
-216.99997503	0.29822840
-215.99997510	0.29822840
-214.99997517	0.29822840
-213.99997524	0.29822840
-212.99997531	0.29822840
-211.99997538	0.27958910
-210.99997545	0.29822840
-209.99997552	0.29822840
-208.99997558	0.29822840
-207.99997565	0.29822840
-206.99997572	0.29822840
-205.99997579	0.29822840
-204.99997586	0.29822840
-203.99997593	0.29822840
-202.99997600	0.29822840
-201.99997607	0.29822840
-200.99997614	0.29822840
-199.99997620	0.29822840
-198.99997627	0.29822840
-197.99997634	0.29822840
-196.99997641	0.29822840
-195.99997648	0.29822840
-194.99997655	0.29822840
-193.99997662	0.29822840
-192.99997669	0.29822840
-191.99997676	0.29822840
-190.99997682	0.31686760
-189.99997689	0.29822840
-188.99997696	0.31686760
-187.99997703	0.31686760
-186.99997710	0.31686760
-185.99997717	0.31686760
-184.99997724	0.29822840
-183.99997731	0.31686760
